Title,Subtitle,Pronoun,Chinese,English,URL,Category,Image_FileName,,
ジュース,,juusu,果汁,juice,,JPN5,,,
この,,kono,這,this,,JPN5,,,
その,,sono,那,that,,JPN5,,,
あの,,ano,那,that,,JPN5,,,
どの,,dono,哪個,which,,JPN5,,,
これ,,kore,這,this,,JPN5,,,
それ,,sore,那,that,,JPN5,,,
あれ,,are,那,that,,JPN5,,,
どれ,,dore,哪個,which,,JPN5,,,
ひと,人,hito,人,human / people,,JPN5,,,
はは,母,haha,母親(自己的),mother(When talking about your own mom),,JPN5,,,
おかあさん,お母さん,okaasan,母親(別人),mom (when referring to someone else's mother),,JPN5,,,
きれい,綺麗,kiree,美麗,beautiful,,JPN5,,,
おとうと,弟,otooto,弟弟,younger brother,,JPN5,,,
かぞく,家族,Kazoku,家族,family,,JPN5,,,
なんにん,何人,nannin,多少人,how many people,,JPN5,,,
あに,兄,ani,兄(自己),elder brother,,JPN5,,,
おにいさん,お兄さん,oniisan,兄(別人), elder brother,,JPN5,,,
ちち,父,chichi,父親(自己),father (When talking about your own father),,JPN5,,,
ぜんぶ,全部,zembu,全部,all,,JPN5,,,
つま,妻,tsuma,妻子(自己),wife (When talking to your own wife),,JPN5,,,
おくさん,奥さん,okusan,妻子(別人),wife (when referring to someone else's wife),,JPN5,,,
ふたり,二人,futari,兩人,two people,,JPN5,,,
じゅう,十,juu,十,ten,,JPN5,,,
ひゃく,百,hyaku,百,hundred,,JPN5,,,
せん,千,sen,千,thousand,,JPN5,,,
まん,万,man,萬,ten thousand,,JPN5,,,
と,,to,和/與, and / with,,JPN5,,,
だれ,誰,dare,誰,who,,JPN5,,,
かいがい ,海外,kaigai,海外,overseas,,JPN5,,,
～ぶ,～部,～bu,部門,department (in an organization),,JPN5,,,
じむ,事務,jimu,事務/公事,office work,,JPN5,,,
てちょう,手帳,techoo,手帳,pocket notebook,,JPN5,,,
ノート,,nooto,筆記簿,notebook,,JPN5,,,
めいし,名刺,meeshi,名片,business card,,JPN5,,,
まんねんひつ,万年筆,mannenhitsu,鋼筆,fountain pen,,JPN5,,,
えんぴつ,鉛筆,empitsu,鉛筆,pencil,,JPN5,,,
ボールペン,,boorupen,原子筆,ballpoint pen,,JPN5,,,
パソコン,,pasokon,個人電腦,personal computer,,JPN5,,,
コンピューター,,kompyuutaa,電腦,computer,,JPN5,,,
つくえ,机,tsukue,書桌,desk,,JPN5,,,
いす,椅子,isu,椅子,chair,,JPN5,,,
とけい,時計,tokei,鐘,clock,,JPN5,,,
え,絵,e,畫,picture,,JPN5,,,
ねこ,猫,neko,貓,cat,,JPN5,,,
いぬ,犬,inu,狗,dog,,JPN5,,,
うえ,上,ue,上, top / on / above,,JPN5,,,
した,下,shita,下, under / below,,JPN5,,,
ひだり,左,hidari,左, left,,JPN5,,,
みぎ,右,migi,右, right,,JPN5,,,
となり,隣,tonari,隔壁, next to,,JPN5,,,
かいぎ,会議,kaigi,會議, meeting,,JPN5,,,
かいぎしつ,会議室,kaigishitsu,會議室, meeting room,,JPN5,,,
ごぜん,午前,gozen,早上, morning / am,,JPN5,,,
ごご,午後,gogo,下午, afternoon / pm,,JPN5,,,
ここ,,koko,這裏, here,,JPN5,,,
そこ,,soko,那裏, there,,JPN5,,,
あそこ,,asoko,那裏(遠), over there,,JPN5,,,
どこ,,doko,哪裏, where,,JPN5,,,
こちら,,kochira,這兒(方位), this side / this place (polite) this place (polite),,JPN5,,,
そちら,,sochira,那兒(方位), that side / that place (polite) that place (polite),,JPN5,,,
あちら,,achira,那兒(方位), over there (polite),,JPN5,,,
どちら,,dochira,哪兒, which /where (polite) where,,JPN5,,,
ある,,aru,那裏有, there is / are,,JPN5,,,
しょくどう ,食堂,shokudoo,食堂, dining hall / cafeteria,,JPN5,,,
へや,部屋,heya,房間, room,,JPN5,,,
そと,外,soto,外面, outside,,JPN5,,,
なか,中,naka,裏面, inside,,JPN5,,,
うけつけ,受付,uketsuke,接待處, reception desk,,JPN5,,,
トイレ,,toire,厠所, toilet,,JPN5,,,
おてあらい,お手洗い,otearai,洗手間, restroom,,JPN5,,,
～かい,～階,～kai,~層, ～floor,,JPN5,,,
かいだん,階段,kaidan,臺階, stairs,,JPN5,,,
なんかい,何階,nankai,哪一層, which floor,,JPN5,,,
エレベーター,,erebeetaa,電梯, elevator,,JPN5,,,
～まい,～枚,～mai,枚, counter for thin objects,,JPN5,,,
じどうはんばいき ,自動販売機,jidoohambaiki,自動售賣機, vending machine,,JPN5,,,
かちょう,課長,kachoo,課長, section chief,,JPN5,,,
ぶちょう,部長,buchoo,經理, manager,,JPN5,,,
しゃちょう, 社長,shachoo,社長, company president,,JPN5,,,
おく,億,oku,億, one hundred million,,JPN5,,,
～ねん,～年,~nen,~年, ～th year,,JPN5,,,
なんねん,何年,nannen,哪年, which year,,JPN5,,,
ことし,今年,kotoshi,這年, this year,,JPN5,,,
らいねん,来年,rainen,明年, next year,,JPN5,,,
きょねん,去年,kyonen,去年, last year,,JPN5,,,
～がつ,～月,gatsu,~月, ~mth,,JPN5,,,
なんがつ,何月,nangatsu,哪月, what month,,JPN5,,,
こんげつ,今月,konketsu,這月, this month,,JPN5,,,
らいげつ,来月,raigetsu,下個月, next month,,JPN5,,,
せんげつ,先月,sengetsu,上月, last month,,JPN5,,,
しゅう,週,shuu,周, week,,JPN5,,,
こんしゅう,今週,konshuu,今周, this week,,JPN5,,,
らいしゅう,来週,raishuu,下周, next week,,JPN5,,,
せんしゅう,先週,senshuu,上周, last week,,JPN5,,,
ひ／にち,日,hi/nichi,日, day,,JPN5,,,
きょう,今日,kyou,今日, today,,JPN5,,,
きのう,昨日,kinou,昨天, yesterday,,JPN5,,,
おととい,,ototoi,前天, the day before,,JPN5,,,
あさって,,asatte,後天, the day after tomorrow,,JPN5,,,
～じ,～時,~ji,時, ～o'clock,,JPN5,,,
なんじ,何時,nanji,幾點, what time,,JPN5,,,
～ふん,～分,fun,分鐘, ～minute,,JPN5,,,
なんぷん,何分,nanpun,幾分, what minute,,JPN5,,,
～びょう,～秒,byou,幾秒, ～second,,JPN5,,,
いつ,,itsu,何時, when,,JPN5,,,
はん,半,han,半, half,,JPN5,,,
まえ,前,mae,前, the front,,JPN5,,,
うしろ,後ろ,ushiro,后, the back,,JPN5,,,
いま,今,ima,現在, now,,JPN5,,,
あさ,朝,asa,朝, morning,,JPN5,,,
ひる,昼,hiru,日間, daytime,,JPN5,,,
ばん,晩,han,晚上, evening,,JPN5,,,
よる,夜,yoru,夜晚, night,,JPN5,,,
けさ,今朝,kesa,今朝, this morning,,JPN5,,,
こんばん,今晩,konban,今晚, this evening,,JPN5,,,
やすみ,休み,yasumi,假期, rest/a day off,,JPN5,,,
まいにち,毎日,mainichi,每天, every day,,JPN5,,,
まい,毎～,mai,每, every ～,,JPN5,,,
たんじょうび,誕生日,tanjoubi,生日, birthday,,JPN5,,,
パーティー,ぱあてぃい,paatii,派對, party,,JPN5,,,
デパート,でぱあと,depaato,百貨公司, department store,,JPN5,,,
ぎんこう,銀行,ginkou,銀行, bank,,JPN5,,,
ゆうびんきょく,郵便局,yuubinkyoku,郵局, post office,,JPN5,,,
としょかん,図書館,toshokan,圖書館, library,,JPN5,,,
えいがかん,映画館,eigakan,戲院, movie theatre,,JPN5,,,
スーパー,すうぱあ,suupaa,超級市場, supermarket,,JPN5,,,
びょういん,病院,byouin,醫院, hospital,,JPN5,,,
やおや,八百屋,yaoya,蔬果店, vegetable shop,,JPN5,,,
びじゅつかん,美術館,bijutsukan,美術館, art museum,,JPN5,,,
～がわ,～側,gawa,旁邊, ～side,,JPN5,,,
げつようび,月曜日,getsuyoubi,星期一, Monday,,JPN5,,,
かようび,火曜日,kayoubi,星期二, Tuesday,,JPN5,,,
すいようび,水曜日,suiyoubi,星期三, Wednesday,,JPN5,,,
もくようび,木曜日,mokuyoubi,星期四, Thursday,,JPN5,,,
きんようび,金曜日,kinyoubi,星期五, Friday,,JPN5,,,
どようび,土曜日,doyoubi,星期六, Saturday,,JPN5,,,
にちようび,日曜日,nichiyoubi,星期天, Sunday,,JPN5,,,
なんようび,何曜日,nanyoubi,星期幾, what day of the week,,JPN5,,,
しゅくじつ,祝日,shukujitsu,假日, holiday,,JPN5,,,
しゅうまつ,週末,shuumatsu,周末, weekend,,JPN5,,,
プレゼント,ぷれぜんと,purezento,禮物, present,,JPN5,,,
だいじょうぶ,大丈夫,daijoubu,沒問題, all right/ok,,JPN5,,,
ほんとう,本当,hontou,真的, truth/really,,JPN5,,,
～まで,,made,直到~, until ~,,JPN5,,,
こんど,今度,kondo,現在/這次, now/this time,,JPN5,,,
おおさかじょう,大阪城,Ōsakajiyou,大阪城, Osaka Castle,,,,,
どうとんぼり,道頓堀,Dotonbori,道頓堀, Dotonbori,,,,,
ゆうえんち,遊園地,yuenchi,遊樂園,amusement park,,,,,
きんかくじ,金閣寺,Kinkakuji,金閣寺, Golden Pavilion in Kyoto,,,,,
しゅっちょう,出張,shutcho,出差,a business trip,,,,,
おみやげ,,omiyage,手信,souvenir,,,,,
ちょっと,,chotto,一點點,a little,,,,,
つかれる,疲れる,tsukareru,疲勞的,to get tired,,,,,
ししゃ,支社,shisha,分公司,branch office,,,,,
なに,何,nani,什麼,what,,,,,
たべる,食べる,taberu,吃,to eat,,,,,
のむ,飲む,nomu,喝,to drink,,,,,
あそぶ,遊ぶ,asobu,玩,to play,,,,,
おこのみやき,お好み焼き,okonomiyaki,禦好燒,okonomiyaki(savory pancake),,,,,
たこやき,たこ焼き,takoyaki,章魚燒,takoyaki,,,,,
もどる,戻る,modoru,返回,to return; to come back,,,,,
いっしょ,,issho,一起, together / with,,,,,
ごはん,ご飯,gohan,米飯,a meal / rice,,,,,
おさけ,お酒,osake,酒,alcohol,,,,,
りょうり,料理,niyouri,烹飪,cooking,,,,,
じかん,時間,jikan,時間,time,,,,,
おしえる,教える,oshieru,教,to teach,,G1,,,
ならう,習う,narau,學習,to learn,,G1,,,
する,,suru,做,to do,,G3,,,
かす,貸す,kasu,借出,to lend,,G1,,,
かりる,借りる,kariru,借入,to borrow,,G1,,,
およぐ,泳ぐ,oyugu,游泳,to swim,,G1,,,
はしる,走る,hashiru,跑步,to run,,G1,,,
あるく,歩く,aruku,走,to walk,,G1,,,
けっこん,,kekkon,婚姻,marriage / to get married,,n/G3,,,
さんぽ,散歩,sanpo,散步,a walk / a stroll,,n/G3,,,
かう,買う,kau,買,to buy,,G1,,,
かく,書く,kaku,寫,to write,,G1,,,
だめ,,dame,no good / no use / impossible,,,な-adj.,,,
ざんねん,残念,zan'nen,失望,regret / pity,,な-adj.,,,
レポート,（れぽおと）,repōto,報告,report,,n,,,
すし,寿司,sushi,壽司,sushi,,n,,,
みそしる,みそ汁,misoshiru,味噌湯,miso soup,,n,,,
ラーメン,（らあめん）,ramen,拉麵,ramen (Chinese-style noodles),,n,,,
コーラ,（こおら）,kola,可樂,cola,,n,,,
おにぎり,,onigiri,飯糰,rice ball,,n,,,
てんぷら,,tempura,天婦羅,tempura,,n,,,
やすむ,休む,yashumu,休息,to rest,,n,,,
じゅんちょう,順調,juncho,進展順利,satisfactory / smooth,,n,,,
こうえん,公園,koen,公園,park,,n,,,
また,,mata,還有,again,,n,,,
あきはばら,秋葉原,akihabara,秋葉原,Akihabara,,n,,,
ぎんざ,銀座,ginza,銀座,Ginza,,n,,,
しんじゅく,新宿,shinjuku,新宿,Shinjuku,,,,,
しぶや,渋谷,shibuya,渋谷,Shibuya,,,,,
あさくさ,浅草,asakusa,浅草,Asakusa,,,,,
しんばし,新橋,shinbashi,新橋,Shimbashi,,,,,
うえの,上野,ueno,上野,Ueno,,,,,
せき,席,seki,座位, Seat,,,,,
あく,空く,aku,空的,to become empty / become vacant,,,,,
あう,会う,au,見面, to meet,,,,,
れいぞうこ,冷蔵庫,reizoko,雪櫃,refrigerator,,,,,
せんたくき,洗濯機,sentakki,洗衣機,washing machine,,,,,
かぐ,家具,kagu,furniture,,,,,,
エアコン,（えあこん）,eakon,冷氣機,air conditioner,,,,,
ドア,どあ,doa,門,door,,,,,
まど,窓,mado,窗戶,window,,,,,
あける,開ける,akeru,打開,open,,,,,
しめる,閉める,shinmeru,關閉,to close,,,,,
うち,家,uchi,家,home,,,,,
いえ,家,ie,家,house,,,,,
でんしゃ,電車,densha,電車,train,,,,,
ちかてつ,地下鉄,chikatetsu,地鐵,subway,,,,,
じてんしゃ,自転車,jitensha,單車,bicycle,,,,,
バス,（ばす）,basu,巴士,bus,,,,,
しんかんせん,新幹線,shinkansen,新幹線,bullet train,,,,,
ひこうき,飛行機,hikoki,飛機,airplane,,,,,
ふね,船,fune,船,boat,,,,,
あるいて,歩いて,aruite,走,on foot,,,,,
えき,駅,eki,車站,station,,,,,
ちかく,近く,chikaku,接近,nearby,,,,,
のる,乗る,noru,上車,get on,,,,,
おりる,降りる,oriru,下車,get off,,,,,
みる,見る,miru,看,see,,,,,
のりかえる,乗り換える,norikaeru,轉移,transfer,,,,,
ふたえき,二駅,futaeki,兩站,two stations,,,,,
みせ,店,mise,店鋪,shop/store,,,,,
こうばん,交番,koban,警察崗亭,police box,,,,,
けいさつしょ,警察署,keisatsusho,警察局,police station,,,,,
しやくしょ,市役所,shiyakusho,市政府,city hall,,,,,
どうぶつえん,動物園,dōbu~tsuen,動物園,zoo,,,,,
たいいくかん,体育館,taiikukan,健身房,gym,,,,,
たいしかん,大使館,taishikan,大使館,embassy,,,,,
にゅうこくかんりきょく,入国管理局,nyūkoku kanri-kyoku,入國管理局,Immigration Bureau,,,,,
はなや,花屋,hanaya,花店,flower shop,,,,,
つく,着く,tsuku,到達,arrive at / reach,,,,,
～ばん,～番,ban,號碼,number,,,,,
いりぐち,入口,iriguchi,入口,entrance,,,,,
でぐち,出口,deguchi,出口,exit,,,,,
でる,出る,deru,出來,to go out / leave,,,,,
はいる,入る,hairu,進入,to enter / come into,,,,,
まっすぐ,,massugu,直的,straight,,,,,
まがる,曲がる,magaru,彎曲,to turn,,,,,
とめる,止める,tomeru,停止,to stop / turn off,,,,,
すぐ,,sugu,快速,close by / immediately,,,,,
げんき,元気,genki,活力,energy / energetic / healthy,,,,,
ITきぎょう,IT企業,IT kigyo,資訊科技公司,IT company,,,,,
しょうしゃ,商社,shosha,貿易公司,trading company,,,,,
かぶしきがいしゃ,株式会社,kabushikigaisha,有限公司,Co., Ltd.,,,,
メーカー,,me-ka-,製作者,maker,,,,,
デザイナー,,dezainā,設計師,designer,,,,,
えきいん,駅員,ekiin,車站工作人員,station attendant,,,,,
ぎんこういん,銀行員,ginkoin,銀行職員, bank staff,,,,,
きょうし,教師,kyoshi,老師,teacher,,,,,
べんごし,弁護士,bengoshi,律師,lawyer,,,,,
びようし,美容師,biyōshi,理髮師,hairdresser,,,,,
てんいん,店員,tenin,職員,clerk / cashier,,,,,
けいさつかん,警察官,keisatsukan,警官,policeman,,,,,
うんてんしゅ,運転手,untenshu,司機,driver,,,,,
はたらく,働く,hataraku,工作,to work,,,,,
べんきょう,勉強,benkyo,學習,study / to study,,,,,
そうじ,掃除,soji,打掃,clean / to clean,,,,,
けんきゅう,研究,kenkyū,研究,research / to research,,,,,
りょこう,旅行,ryoko,旅行,trip / vacation / to travel,,,,,
うたう,歌う,utau,唱歌,to sing,,,,,
うた,歌,uta,歌曲,song,,,,,
カラオケ,,karaoke,卡拉OK,karaoke,,,,,
スキー,,suki,滑雪,skiing,,,,,
スキーじょう,スキー場,sukiba,滑雪勝地,ski resort,,,,,
ながの,長野,nagono,長野,Nagano,,,,,
ちば,千葉,chiba,千葉,Chiba,,,,,
かながわ,神奈川,kanagawa,神奈川,Kanagawa,,,,,
さいたま,埼玉,saitama,埼玉,Saitama,,,,,
しずおか,静岡,shizuoka,静岡,Shizuoka,,,,,
やまなし,山梨,yamanashi,山梨,Yamanashi,,,,,
アルバイト,,arubaito,兼職工作,part-time job,,,,,
のみもの,飲み物,nomimono,喝,drink,,,,,
たべもの,食べ物,tabemono,食物,food,,,,,
もつ,持つ,motsu,有,to have / to possess / to hold,,,,,
しょうがっこう,小学校,shōgakkō,小學,elementary school,,,,,
ちゅうがっこう,中学校,chugakko,國中,junior-high school,,,,,
タバコ,,tabako,烟草,tobacco,,,,,
すう,吸う,suu,吸入,to smoke,,,,,
すむ,住む,sumu,居住,to live,,,,,
まつ,待つ,matsu,等待,to wait,,,,,
ねる,寝る,neru,睡覺,to sleep,,,,,
えいご,英語,eigo,English,,,,,,
おかし,お菓子,okashi,糖果,sweets,,,,,
うでどけい,腕時計,udedokei,手錶,watch,,,,,
でんわ,電話,denwa,電話,phone / to call,,,,,
グローバル,,gurobaru,環球,global,,,,,
フランス,,furansu,法國,France,,,,,
イタリア,,itaria,義大利,Italy,,,,,
とても,,todemo,非常,very,,,,,
あまり,,amari,不多,not much,,,,,
いそがしい,忙しい,isogashī,忙碌的,busy,,,,,
たのしい,楽しい,tanoshī,樂趣,fun,,,,,
おもしろい,面白い,omoshiroi,有趣的,interesting,,,,,
むずかしい,難しい,muzukashī,難的,difficult,,,,,
やさしい,易しい,yasashī,簡單的,easy / simple,,,,,
おおきい,大きい,oki,大的,big,,,,,
ちいさい,小さい,chīsai,小的,small,,,,,
さむい,寒い,samui,寒冷的 (天氣),cold (for weather),,,,,
あつい,熱い／暑い,atsui,熱的(天氣/物件),hot (for weather/objects),,,,,
たかい,高い,takai,高/貴,high / tall / expensive,,,,,
やすい,安い,yasui,便宜的,cheap,,,,,
あたらしい,新しい,atarashī,新的,new,,,,,
ふるい,古い,furui,舊的,old,,,,,
いい、よい,良い,yori,好的,good,,,,,
わるい,悪い,warui,壞的,bad,,,,,
しろい,白い,shiroi,白色的,white,,,,,
しろ,白,shiro,白色的,white,,,,,
くろい,黒い,kuroi,黑色的,black,,,,,
くろ,黒,kuroi,黑色的,black,,,,,
あかい,赤い,akai,紅色的,red,,,,,
あか,赤,aka,紅色的,red,,,,,
あおい,青い,aoi,藍色的,blue,,,,,
あお,青,ao,藍色的,blue,,,,,
つめたい,冷たい,tsumetai,寒冷的 (物件),cool (for objects),,,,,
あたたかい,暖かい,attakai,溫暖的,warm,,,,,
ちかい,近い,chikai,附近,near,,,,,
とおい,遠い,tooi,遠,far,,,,,
ひろい,広い,hiroi,寬,wide,,,,,
せまい,狭い,semai,狹窄,narrow,,,,,
はやい,早い／速い,hayai,早/快的,early/fast,,,,,
おそい,遅い,osoi,慢的,late/slow,,,,,
おいしい,,oishī,美味,delicious,,,,,
まずい,,mazui,難吃,bad‐tasting / poor quality,,,,,
うまい,,umai,好的,delicious / skillful / good (at),,,,,
てんき,天気,tenki,天氣,weather,,,,,
とまる,泊まる,tomaru,停留,to stay the night,,,,,
ホテル,,hoteru,酒店,hotel,,,,,
たてもの,建物,tatemono,大樓,building,,,,,
ジャパン,,japan,日本,Japan,,,,,
せわ,世話,sewa,關心,care / help,,,,,
しる,知る,shiru,知道,to know,,,,,
ビル,,biru,building,,,,,,
ひらがな,平仮名,hiragana,平假名,hiragana (cursive syllabary),,,,,
カタカナ,,katakana,片假名,katakana (syllabic writing),,,,,
かんじ,漢字,kanji,漢字,Kanji (Chinese characters),,,,,
ひとつ,1つ,hitotsu,一個,one (used when counting things),,,,,
ふたつ,2つ,futatsu,二個,two (used when counting things),,,,,
～こ,～個,~ko,個,counter suffix for small things,,,,,
めい,名,mei,名(人數),counter suffix for people,,,,,
なんめい,何名,nani-mei,多少人,how many people,,,,,
ゆうめい,有名,yumei,著名的,famous,,,,,
にぎやか,賑やか,nigiyaka,忙碌的,lively / busy,,,,,
しずか,静か,shizuka,安靜的,quiet,,,,,
べんり,便利,benri,方便,convenient,,,,,
ふべん,不便,fuben,不便,inconvenient,,,,,
じょうぶ,丈夫,jobu,耐用的,strong / solid,,,,,
まじめ,真面目,majime,認真的,serious / honest,,,,,
りっぱ,立派,ri-pa,美好的,fine / respectable,,,,,
ざんねん,残念,zannen,令人失望的,regrettable,,,,,
ひま,暇,hima,空閒,free,,,,,
たいへん,大変,taihen,難的,difficult / hard,,,,,
たくさん,,taksan,很多,many,,,,,
いつも,,itsumo,每次,always,,,,,
みち,道,michi,路,road / street,,,,,
まち,町／街,machi,鎮,town,,,,,
そば,,,Soba (Japanese buckwheat noodles),,,,,,
うどん,,udon,烏冬,wuudon,,,,,
ぎゅうどん,牛丼,gyudon,牛丼,beef rice bowl,,,,,
やきにく,焼肉,yakiniku,焼肉,Japanese grilled beef,,,,,
にく,肉,niku,肉,meat,,,,,
とりにく,鶏肉,toriniku,鶏肉,chicken,,,,,
ぶたにく,豚肉,butaniku,豬肉,pork,,,,,
ぎゅうにく,牛肉,gyuniku,牛肉,beef,,,,,
やさい,野菜,yasai,蔬菜,vegetable,,,,,
やきそば,焼きそば,yakisoba,fried noodles,,,,,,
カレー（ライス）,,kare (raisu),咖哩(飯),curry,,,,,
ピザ,,piza,披薩,pizza,,,,,
ハンバーガー,,hanbaga,漢堡,hamburger,,,,,
サンドイッチ,,sandoitchi,三明治,sandwich,,,,,
リンゴ,,ringo,蘋果,apple,,,,,
みかん,蜜柑,mikan,柑橘,tangerine,,,,,
なし,梨,nashi,梨,pear,,,,,
ていしょく,定食,teishoku,套餐,set meal,,,,,
ウェイトレス,,waetoresu,女服務生,waitress,,,,,
ちゅうもん,,chi-yuumon,下單/點菜,order / to order,,,,,
かいけい,会計,kaikei,會計/,payment / to pay,,,,,
えん,円,yen,日元/圓,yen,,,,,
べつべつ,別々,betsubetsu,分別地,separation / separately,,,,,
レストラン,,resutoran,餐廳,restaurant,,,,,
ところ,所,tokoro,地方,place,,,,,
とき,時,toki,時間,time,,,,,
ミス,,misu,錯誤,mistake,,,,,
せいかつ,生活,seikatsu,生活,life / to live,,,,,
かえる,帰る,kaeru,回家,to go back / return,,,,,
おきる,起きる,okiru,起床,to get up,,,,,
まんが,漫画,manga,漫畫,comic book,,,,,
アニメ,,anime,日本卡通,animation / cartoons,,,,,
テレビドラマ,,terebi dorama,電視劇,TV drama,,,,,
こたえる,答える,kotaeru,回答,Answer,,,,,
ばんぐみ,番組,bangumi,電視節目,TV program,,,,,
くだもの,果物,kudamono,水果,fruit,,,,,
さかな,魚,sakana,魚,fish,,,,,
ダンス,,dansu,跳舞,dance / to dance,,,,,
スポーツ,,supootsu,體育運動,sports / to do sports,,,,,
おんがく,音楽,ongaku,音樂,music,,,,,
かね,金,kane,金錢,money,,,,,
チケット,,chiketto,票,ticket,,,,,
きっぷ,切符,kippu,票,ticket,,,,,
おとこ,男,otoko,男人,man,,,,,
おんな,女,onna,女人,woman,,,,,
かれ,彼,kare,他,he,,,,,
かのじょ,彼女,kanojo,她,she,,,,,
ぼく,僕,boku,僕人/我(男子用自稱), I (used by men),,,,,
おれ,俺,ore,我(男子用自稱), I (used by men),,,,,
すき,好き,suki,喜歡,like,,,,,
きらい,嫌い,kirai,不喜歡,hate,,,,,
じょうず,上手,jouzu,占上方,to be good at,,,,,
へた,下手,heta,不擅長,to be bad at,,,,,
わかる,分かる,wakaru,了解,to understand,,,,,
ほんや,本屋,honya,書店,bookstore,,,,,
コンビニ,,konbini,便利店,convenience store,,,,,
きっさてん,喫茶店,kissaten,飲食店/咖啡館,coffee shop,,,,,
きって,切手,kitte,郵票,stamp,,,,,
すこし,少し,sukoshi,稍微/一點,a little,,,,,
ぜんぜん,全然,zenzen,一點也不,not at all,,,,,
え,絵,e,繪畫,picture (drawing),,,,,
えがく,描く,kaku,畫畫,to draw,,,,,
あげる,,ageru,放,to give,,,,,
もらう,,morau,收到,to receive,,,,,
かえす,返す,kaesu,歸還,to return,,,,,
せ,背,se,身高/背,height / back,,,,,
レンタルショップ,,rentarushoppu,出租店,rental shop,,,,,
あまい,甘い,amai,甜,sweet,,,,,
からい,辛い,tsurai,辣,spicy,,,,,
にがい,苦い,nigai,苦,bitter,,,,,
しおからい,塩辛い,shiokarai,咸,salty,,,,,
すっぱい,酸っぱい,suppai,酸,sour,,,,,
こい,濃い,koi,濃,thick,,,,,
うすい,薄い,usui,薄,thin,,,,,
もの,物,mono,物,things,,,,,
いろ,色,iro,顏色,Colour,,,,,
かかる,,kakaru,需要(時間/金錢),to take time / money,,,,,
どうして,,doushite,爲什么,Why,,,,,
にもつ,荷物,nimotsu,行李,baggage / luggage,,,,,
かいもの,買い物,kaimono,購物,shopping / to go shopping,,,,,
せんたく,洗濯,sentaku,洗衣,laundry / to do laundry,,,,,
れんしゅう,練習,renshu,練習,practice / to practice,,,,,
